"filename", "language", "JavaScript", "TypeScript", "comment", "blank", "total"
"/Users/whosejam/Desktop/pmake/SD/Node/Nake/Fragment.d.ts", "TypeScript", 0, 6, 0, 2, 8
"/Users/whosejam/Desktop/pmake/SD/Node/Nake/Fragment.js", "JavaScript", 102, 0, 20, 8, 130
"/Users/whosejam/Desktop/pmake/SD/Node/Nake/Line.d.ts", "TypeScript", 0, 4, 0, 1, 5
"/Users/whosejam/Desktop/pmake/SD/Node/Nake/Line.js", "JavaScript", 50, 0, 0, 9, 59
"/Users/whosejam/Desktop/pmake/SD/Node/Nake/Marker.js", "JavaScript", 7, 0, 0, 0, 7
"/Users/whosejam/Desktop/pmake/SD/Node/Nake/Path.d.ts", "TypeScript", 0, 6, 0, 2, 8
"/Users/whosejam/Desktop/pmake/SD/Node/Nake/Path.js", "JavaScript", 246, 0, 18, 20, 284
"/Users/whosejam/Desktop/pmake/SD/Node/Nake/Rect.d.ts", "TypeScript", 0, 4, 0, 1, 5
"/Users/whosejam/Desktop/pmake/SD/Node/Nake/Rect.js", "JavaScript", 35, 0, 0, 6, 41
"/Users/whosejam/Desktop/pmake/SD/Node/Nake/Svg.d.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/whosejam/Desktop/pmake/SD/Node/Nake/Svg.js", "JavaScript", 115, 0, 0, 6, 121
"/Users/whosejam/Desktop/pmake/SD/Node/Nake/Text.d.ts", "TypeScript", 0, 8, 0, 2, 10
"/Users/whosejam/Desktop/pmake/SD/Node/Nake/Text.js", "JavaScript", 115, 0, 19, 16, 150
"/Users/whosejam/Desktop/pmake/SD/Node/SDMember.d.ts", "TypeScript", 0, 12, 0, 7, 19
"/Users/whosejam/Desktop/pmake/SD/Node/SDMember.js", "JavaScript", 66, 0, 0, 11, 77
"/Users/whosejam/Desktop/pmake/SD/Node/SDNode.d.ts", "TypeScript", 0, 50, 16, 10, 76
"/Users/whosejam/Desktop/pmake/SD/Node/SDNode.js", "JavaScript", 225, 0, 0, 40, 265
"/Users/whosejam/Desktop/pmake/SD/Node/SDValue.d.ts", "TypeScript", 0, 9, 3, 5, 17
"/Users/whosejam/Desktop/pmake/SD/Node/SDValue.js", "JavaScript", 33, 0, 0, 8, 41
"/Users/whosejam/Desktop/pmake/SD/Node/Text/Mathjax.d.ts", "TypeScript", 0, 6, 0, 2, 8
"/Users/whosejam/Desktop/pmake/SD/Node/Text/Mathjax.js", "JavaScript", 39, 0, 0, 9, 48
"/Users/whosejam/Desktop/pmake/SD/Node/Tree/BaseTree.d.ts", "TypeScript", 0, 40, 0, 16, 56
"/Users/whosejam/Desktop/pmake/SD/Node/Tree/BaseTree.js", "JavaScript", 232, 0, 4, 24, 260
"/Users/whosejam/Desktop/pmake/SD/Node/Tree/BinaryTree.d.ts", "TypeScript", 0, 11, 0, 3, 14
"/Users/whosejam/Desktop/pmake/SD/Node/Tree/BinaryTree.js", "JavaScript", 87, 0, 3, 11, 101
"/Users/whosejam/Desktop/pmake/SD/Node/Tree/BoxTree.d.ts", "TypeScript", 0, 10, 0, 2, 12
"/Users/whosejam/Desktop/pmake/SD/Node/Tree/BoxTree.js", "JavaScript", 33, 0, 0, 8, 41
"/Users/whosejam/Desktop/pmake/SD/Node/Tree/HorizontalTree.d.ts", "TypeScript", 0, 8, 0, 2, 10
"/Users/whosejam/Desktop/pmake/SD/Node/Tree/HorizontalTree.js", "JavaScript", 35, 0, 0, 7, 42
"/Users/whosejam/Desktop/pmake/SD/Node/Tree/HorizontalValueTree.js", "JavaScript", 27, 0, 0, 8, 35
"/Users/whosejam/Desktop/pmake/SD/Node/Tree/RoundSquareTree.js", "JavaScript", 67, 0, 4, 4, 75
"/Users/whosejam/Desktop/pmake/SD/Node/Tree/Splay.d.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/whosejam/Desktop/pmake/SD/Node/Tree/Splay.js", "JavaScript", 99, 0, 0, 3, 102
"/Users/whosejam/Desktop/pmake/SD/Node/Tree/Tree.d.ts", "TypeScript", 0, 8, 0, 2, 10
"/Users/whosejam/Desktop/pmake/SD/Node/Tree/Tree.js", "JavaScript", 127, 0, 10, 14, 151
"/Users/whosejam/Desktop/pmake/SD/Node/Tree/ValueTree.d.ts", "TypeScript", 0, 4, 0, 1, 5
"/Users/whosejam/Desktop/pmake/SD/Node/Tree/ValueTree.js", "JavaScript", 37, 0, 0, 7, 44
"/Users/whosejam/Desktop/pmake/SD/Rule/Aside.js", "JavaScript", 28, 0, 6, 2, 36
"/Users/whosejam/Desktop/pmake/SD/Rule/Background.js", "JavaScript", 19, 0, 0, 2, 21
"/Users/whosejam/Desktop/pmake/SD/Rule/Center.js", "JavaScript", 57, 0, 0, 4, 61
"/Users/whosejam/Desktop/pmake/SD/Rule/Latex.js", "JavaScript", 97, 0, 0, 10, 107
"/Users/whosejam/Desktop/pmake/SD/Rule/Path.js", "JavaScript", 14, 0, 0, 2, 16
"/Users/whosejam/Desktop/pmake/SD/Rule/Rule.js", "JavaScript", 24, 0, 3, 8, 35
"/Users/whosejam/Desktop/pmake/SD/SD.d.ts", "TypeScript", 0, 16, 0, 7, 23
"/Users/whosejam/Desktop/pmake/SD/SD.js", "JavaScript", 55, 0, 3, 13, 71
"/Users/whosejam/Desktop/pmake/SD/Utility/Color.d.ts", "TypeScript", 0, 2, 0, 1, 3
"/Users/whosejam/Desktop/pmake/SD/Utility/Color.js", "JavaScript", 89, 0, 14, 11, 114
"/Users/whosejam/Desktop/pmake/SD/Utility/Math.d.ts", "TypeScript", 0, 22, 87, 19, 128
"/Users/whosejam/Desktop/pmake/SD/Utility/Math.js", "JavaScript", 87, 0, 0, 19, 106
"/Users/whosejam/Desktop/pmake/SD/Utility/Random.d.ts", "TypeScript", 0, 1, 0, 0, 1
"/Users/whosejam/Desktop/pmake/SD/Utility/Random.js", "JavaScript", 7, 0, 0, 1, 8
"/Users/whosejam/Desktop/pmake/SD/Utility/Reader.js", "JavaScript", 80, 0, 0, 7, 87
"/Users/whosejam/Desktop/pmake/SD/Utility/SVG.js", "JavaScript", 3, 0, 0, 1, 4
"/Users/whosejam/Desktop/pmake/SD/Utility/Storage.ts", "TypeScript", 0, 22, 0, 4, 26
"/Users/whosejam/Desktop/pmake/SD/Utility/Tool.js", "JavaScript", 75, 0, 39, 9, 123
"/Users/whosejam/Desktop/pmake/SD/Utility/Trim.d.ts", "TypeScript", 0, 3, 0, 1, 4
"/Users/whosejam/Desktop/pmake/SD/Utility/Trim.js", "JavaScript", 39, 0, 0, 2, 41
"/Users/whosejam/Desktop/pmake/SD/Utility/Util.d.ts", "TypeScript", 0, 5, 0, 3, 8
"/Users/whosejam/Desktop/pmake/SD/Utility/Util.js", "JavaScript", 17, 0, 0, 3, 20
"Total", "-", 6142, 580, 588, 987, 8297
